,ETFPrice,CallPrice,PutPrice,StrikePrice,LocalTime,Type,TransactionArbitrage,Profit
49,1.958,0.0718,0.0207,1.9,2016-Feb-16 09:31:03.727330,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,0.007943730270520977
50,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767138,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.7719884623208477
51,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767138,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.0719884623208475
52,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767171,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.7719884623208477
53,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767171,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.0719884623208475
54,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:04.767236,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,0.21015252672060036
55,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:04.767236,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,3.5101525267206
56,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:04.767471,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,8.524644719919952
57,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:04.767471,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,11.824644719919952
58,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:05.263763,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.7719884623208477
59,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:05.263763,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.0719884623208475
60,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:05.263793,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,0.21015252672060036
61,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:05.263793,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,3.5101525267206
62,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:05.264023,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,8.524644719919952
63,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:05.264023,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,11.824644719919952
64,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:05.775505,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.7719884623208477
65,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:05.775505,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.0719884623208475
66,1.957,0.0429,0.0406,1.95,2016-Feb-16 09:31:05.775596,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,18.21015252672063
67,1.957,0.0429,0.0406,1.95,2016-Feb-16 09:31:05.775596,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,21.51015252672063
68,1.957,0.0429,0.0397,1.95,2016-Feb-16 09:31:05.775629,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,27.21015252672061
69,1.957,0.0429,0.0397,1.95,2016-Feb-16 09:31:05.775629,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,30.51015252672061
70,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:05.775898,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,8.524644719919952
71,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:05.775898,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,11.824644719919952
72,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:06.277278,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.7719884623208477
73,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:06.277278,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.0719884623208475
74,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.277352,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,9.21015252672058
75,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.277352,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,12.51015252672058
76,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.277387,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,9.21015252672058
77,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.277387,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,12.51015252672058
78,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.277599,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,8.524644719919952
79,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.277599,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,11.824644719919952
80,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.277629,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,8.524644719919952
81,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.277629,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,11.824644719919952
82,1.957,0.0243,0.072,2.0,2016-Feb-16 09:31:06.788770,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,17.771988462320888
83,1.957,0.0243,0.072,2.0,2016-Feb-16 09:31:06.788770,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,21.07198846232089
84,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.788786,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,9.21015252672058
85,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.788786,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,12.51015252672058
86,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.788816,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,9.21015252672058
87,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.788816,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,12.51015252672058
88,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.788979,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,8.524644719919952
89,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.788979,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,11.824644719919952
90,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.789157,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,8.524644719919952
91,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.789157,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,11.824644719919952
92,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:07.268641,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.7719884623208477
93,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:07.268641,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.0719884623208475
94,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:07.268659,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,9.21015252672058
95,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:07.268659,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,12.51015252672058
96,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:07.268706,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,9.21015252672058
