,ETFPrice,CallPrice,PutPrice,StrikePrice,LocalTime,Type and Action,Profit
69,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:07.806282,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",10.824644719920062
70,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:08.210341,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.0719884623208475
71,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:08.210363,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",12.51015252672058
72,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:08.210460,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",3.5101525267206
73,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:08.210967,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",10.824644719920062
74,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:08.709271,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",3.5101525267206
75,1.957,0.0411,0.0387,1.95,2016-Feb-16 09:31:08.709318,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",22.51015252672059
76,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:08.709488,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",10.824644719920062
77,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:14.823293,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
78,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:14.823470,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
79,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:15.322608,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
80,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:15.936352,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
81,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:15.936376,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
82,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:15.936534,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
83,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:16.420779,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
84,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:16.420839,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
85,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:16.421110,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
86,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:17.435308,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
87,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:17.435410,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
88,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:17.879939,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
89,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:17.879972,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
90,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:17.880512,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
91,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:19.803121,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
92,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:21.792518,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
93,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:22.299188,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
94,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:22.299702,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
